mandate_id,entry_id
1,AB034
1,AB110
2,MB021
2,MB110
3,NB010
3,NB077
4,NL007
4,NL064
5,NS009
5,NS082
6,NU004
6,NU050
7,ON111
7,ON217
8,PE012
8,PE081
9,QC0043
9,QC0138
10,SK024
10,SK072
11,YT051
11,YT081
12,AB033
12,AB211
13,BC018
13,BC203
14,MB025
14,MB166
15,NB008
15,NB162
16,NL009
16,NL136
17,NS022
17,NS132
18,NT008
18,NT116
19,NU007
19,NU088
20,ON009
20,ON249
21,PE022
21,PE146
22,QC0033
22,QC0351
23,SK021
23,SK157
24,YT010
24,YT120
25,AB009
25,AB124
26,BC009
26,BC669
27,MB007
27,MB106
28,NB004
28,NB055
29,NL017
29,NL052
30,NS006
30,NS063
31,NT011
31,NT088
32,NU019
32,NU051
33,ON008
33,ON183
34,PE074
34,PE075
35,QC0058
35,QC0181
36,SK004
36,SK070
37,YT003
37,YT060
38,AB237
38,AB394
39,BC228
39,BC678
40,MB254
40,MB615
41,NB053
41,NB662
42,NL129
42,NL350
43,NS070
43,NS467
44,NT171
44,NT255
45,NU328
45,NU572
46,ON278
46,ON879
47,PE154
47,PE484
48,QC0346
48,QC1164
49,SK176
49,SK433
50,YT133
50,YT265
51,ON038
51,ON167
52,CAN126
52,CAN439
53,AB041
53,AB172
54,AB213
54,AB358
55,BC097
55,BC473
56,MB020
56,MB540
57,NB016
57,NB507
58,NL011
59,NS020
60,NT031
60,NT104
61,NU010
61,NU571
62,ON020
62,ON338
63,ON446
63,ON470
64,ON656
64,ON717
65,PE040
65,PE126
66,QC0032
67,SK014
67,SK340
68,YT030
68,YT201
69,YT213
69,YT267